Site,Month,Position,Depth,Distance,Salinity,pH,Temperature
Zghira,July,Surface,0,64,NA,NA,24.94
Zghira,July,Surface,0,62,NA,NA,24.95
Zghira,July,Surface,0,60,NA,NA,24.95
Zghira,July,Surface,0,58,NA,NA,24.95
Zghira,July,Surface,0,56,NA,NA,24.96
Zghira,July,Surface,0,54,NA,NA,24.96
Zghira,July,Surface,0,52,NA,NA,24.96
Zghira,July,Surface,0,50,NA,NA,24.96
Zghira,July,Surface,0,48,NA,NA,24.96
Zghira,July,Surface,0,46,NA,NA,24.96
Zghira,July,Surface,0,44,NA,NA,24.95
Zghira,July,Surface,0,42,NA,NA,24.96
Zghira,July,Surface,0,40,NA,NA,24.96
Zghira,July,Surface,0,38,NA,NA,24.96
Zghira,July,Surface,0,36,NA,NA,24.97
Zghira,July,Surface,0,34,NA,NA,24.97
Zghira,July,Surface,0,32,NA,NA,24.97
Zghira,July,Surface,0,30,NA,NA,24.98
Zghira,July,Surface,0,28,NA,NA,24.96
Zghira,July,Surface,0,26,NA,NA,24.98
Zghira,July,Surface,0,24,NA,NA,24.99
Zghira,July,Surface,0,22,NA,NA,24.99
Zghira,July,Surface,0,20,NA,NA,25
Zghira,July,Surface,0,18,NA,NA,25.04
Zghira,July,Surface,0,16,NA,NA,25.05
Zghira,July,Surface,0,14,NA,NA,25.06
Zghira,July,Surface,0,12,NA,NA,25.07
Zghira,July,Surface,0,10,NA,NA,25.1
Zghira,July,Surface,0,8,NA,NA,25.21
Zghira,July,Surface,0,6,NA,NA,25.38
Zghira,July,Surface,0,4,NA,NA,25.48
Zghira,July,Surface,0,2,NA,NA,25.52
Zghira,July,Surface,0,0,NA,NA,25.52
Kbira,September,Surface,0,100,36.15,8.25,26.47
Kbira,September,Surface,0,98,36.15,8.25,26.47
Kbira,September,Surface,0,96,36.14,8.25,26.49
Kbira,September,Surface,0,94,36.14,8.25,26.49
Kbira,September,Surface,0,92,36.15,8.25,26.49
Kbira,September,Surface,0,90,36.16,8.25,26.48
Kbira,September,Surface,0,88,36.18,8.25,26.47
Kbira,September,Surface,0,86,36.18,8.25,26.46
Kbira,September,Surface,0,84,36.18,8.25,26.47
Kbira,September,Surface,0,82,36.19,8.25,26.47
Kbira,September,Surface,0,80,36.2,8.25,26.47
Kbira,September,Surface,0,78,36.2,8.25,26.47
Kbira,September,Surface,0,74,36.2,8.25,26.47
Kbira,September,Surface,0,72,36.21,8.25,26.47
Kbira,September,Surface,0,70,36.21,8.25,26.47
Kbira,September,Surface,0,68,36.22,8.25,26.47
Kbira,September,Surface,0,66,36.22,8.25,26.47
Kbira,September,Surface,0,64,36.23,8.25,26.46
Kbira,September,Surface,0,62,36.24,8.25,26.46
Kbira,September,Surface,0,60,36.24,8.25,26.45
Kbira,September,Surface,0,58,36.24,8.25,26.44
Kbira,September,Surface,0,56,36.24,8.25,26.44
Kbira,September,Surface,0,54,36.24,8.25,26.44
Kbira,September,Surface,0,52,36.24,8.25,26.44
Kbira,September,Surface,0,50,36.24,8.25,26.44
Kbira,September,Surface,0,48,36.23,8.25,26.44
Kbira,September,Surface,0,46,36.24,8.25,26.44
Kbira,September,Surface,0,44,36.24,8.25,26.44
Kbira,September,Surface,0,42,36.23,8.25,26.44
Kbira,September,Surface,0,40,36.24,8.25,26.43
Kbira,September,Surface,0,38,36.24,8.25,26.43
Kbira,September,Surface,0,36,36.23,8.24,26.43
Kbira,September,Surface,0,34,36.23,8.24,26.43
Kbira,September,Surface,0,32,36.23,8.24,26.44
Kbira,September,Surface,0,30,36.22,8.24,26.44
Kbira,September,Surface,0,28,36.21,8.24,26.46
Kbira,September,Surface,0,26,36.2,8.24,26.48
Kbira,September,Surface,0,24,36.2,8.24,26.48
Kbira,September,Surface,0,22,36.21,8.23,26.47
Kbira,September,Surface,0,20,36.21,8.23,26.48
Kbira,September,Surface,0,18,36.21,8.23,26.48
Kbira,September,Surface,0,16,36.21,8.23,26.49
Kbira,September,Surface,0,14,36.21,8.23,26.49
Kbira,September,Surface,0,12,36.21,8.22,26.51
